AUTOID;INSTALACIONID;REGIMEN;INSTALACION;AUTONOMIA
370;;ORDINARIO;OLIANA 3;Cataluna
371;;ORDINARIO;ORELLANA CANAL;Extremadura
372;;ORDINARIO;ORELLANA PIE DE PRESA;Extremadura
373;;ORDINARIO;ORFANS;Cataluna
374;;ORDINARIO;PAMPANEIRA;Andalucia
375;;ORDINARIO;PAREDONES 1;Andalucia
376;;ORDINARIO;PAREDONES 2;Andalucia
377;;ORDINARIO;PASTERAL 1;Cataluna
378;;ORDINARIO;PASTERAL II 1;Cataluna
379;;ORDINARIO;PASTERAL II 2;Cataluna
380;;ORDINARIO;PEDRO MARIN 1;Andalucia
381;;ORDINARIO;PEDRO MARIN 2;Andalucia
382;;ORDINARIO;PENADRADA GR 1;Castilla y Leon
383;;ORDINARIO;PENADRADA GR 2;Castilla y Leon
384;;ORDINARIO;PINTADO 1;Andalucia
385;;ORDINARIO;PINTADO 2;Andalucia
386;;ORDINARIO;PINTADO 3;Andalucia
387;;ORDINARIO;PONT DE REI 1;Cataluna
388;;ORDINARIO;PONT DE REI 2;Cataluna
389;;ORDINARIO;PONT DE SUERT 1;Cataluna
390;;ORDINARIO;PONT DE SUERT 2;Cataluna
391;;ORDINARIO;POQUEIRA 1;Andalucia
392;;ORDINARIO;POQUEIRA 2;Andalucia
393;;ORDINARIO;PORTO GR 1;Castilla y Leon
394;;ORDINARIO;PRADA GR 1;Galicia
395;;ORDINARIO;PRADA GR 2;Galicia
396;;ORDINARIO;PUENTE MONTANANA 1;Cataluna
397;;ORDINARIO;PUENTE MONTANANA 2;Cataluna
398;;ORDINARIO;PUENTES GR 1;Galicia
399;;ORDINARIO;PUENTES GR 2;Galicia
400;;ORDINARIO;PUENTES GR 3;Galicia
401;;ORDINARIO;PUENTES GR 4;Galicia
402;;ORDINARIO;PUERTO PENA 1;Extremadura
403;;ORDINARIO;PUERTO PENA 2;Extremadura
404;;ORDINARIO;PUERTO PENA 3;Extremadura
405;;ORDINARIO;QUERENO GR 1;Galicia
406;;ORDINARIO;QUERENO GR 2;Galicia
407;;ORDINARIO;RACIONEROS 1;Andalucia
408;;ORDINARIO;RACIONEROS 2;Andalucia
409;;ORDINARIO;RIBA ROJA 1;Cataluna
410;;ORDINARIO;RIBA ROJA 2;Cataluna
411;;ORDINARIO;RIBA ROJA 3;Cataluna
412;;ORDINARIO;RIBA ROJA 4;Cataluna
413;;ORDINARIO;RIBADELAGO GR 1;Castilla y Leon
414;;ORDINARIO;RIBADELAGO GR 2;Castilla y Leon
415;;ORDINARIO;RIBADELAGO GR 3;Castilla y Leon
416;;ORDINARIO;RIBADELAGO GR 4;Castilla y Leon
417;;ORDINARIO;RIOSCURO GR 1;Castilla y Leon
418;;ORDINARIO;RIOSCURO GR 2;Castilla y Leon
419;;ORDINARIO;RONDA 1;Andalucia
420;;ORDINARIO;RONDA 2;Andalucia
421;;ORDINARIO;SAN AGUSTIN GR 1;Galicia
422;;ORDINARIO;SAN AGUSTIN GR 2;Galicia
423;;ORDINARIO;SAN AUGUSTO 1;Andalucia
424;;ORDINARIO;SAN AUGUSTO 2;Andalucia
425;;ORDINARIO;SAN AUGUSTO 3;Andalucia
426;;ORDINARIO;SAN CALIXTO 1;Andalucia
427;;ORDINARIO;SAN CALIXTO 2;Andalucia
428;;ORDINARIO;SAN MAURICI 1;Cataluna
429;;ORDINARIO;SAN MAURICI 2;Cataluna
430;;ORDINARIO;SAN MAURICI 3;Cataluna
431;;ORDINARIO;SAN PASCUAL 1;Andalucia
432;;ORDINARIO;SAN PASCUAL 2;Andalucia
433;;ORDINARIO;SAN RAMON;Andalucia
434;;ORDINARIO;SAN ROQUE GRUPO 2;Andalucia
435;;ORDINARIO;SAN SEBASTIAN GR 1;Castilla y Leon
436;;ORDINARIO;SAN SEBASTIAN GR 2;Castilla y Leon
437;;ORDINARIO;SANTA ANA 1;Aragon
438;;ORDINARIO;SANTA ANA 2;Aragon
439;;ORDINARIO;SANTA MARINA GR 1;Castilla y Leon
440;;ORDINARIO;SANTA MARINA GR 2;Castilla y Leon
441;;ORDINARIO;SANTA MARINA GR 3;Castilla y Leon
442;;ORDINARIO;SAU 1;Cataluna
443;;ORDINARIO;SAU 2;Cataluna
444;;ORDINARIO;SENET 1;Aragon
445;;ORDINARIO;SENET 2;Aragon
446;;ORDINARIO;SEROS II 1;Cataluna
447;;ORDINARIO;SEROS II 2;Cataluna
448;;ORDINARIO;SEROS II 3;Cataluna
449;;ORDINARIO;SEROS II 4;Cataluna
450;;ORDINARIO;SUSQUEDA 1;Cataluna
451;;ORDINARIO;SUSQUEDA 2;Cataluna
452;;ORDINARIO;SUSQUEDA 3;Cataluna
453;;ORDINARIO;TAJO DE LA ENCANTADA 1;Andalucia
454;;ORDINARIO;TAJO DE LA ENCANTADA 2;Andalucia
455;;ORDINARIO;TAJO DE LA ENCANTADA 3;Andalucia
456;;ORDINARIO;TAJO DE LA ENCANTADA 4;Andalucia
457;;ORDINARIO;TALARN II 1;Cataluna
458;;ORDINARIO;TALARN II 2;Cataluna
459;;ORDINARIO;TALARN II 3;Cataluna
460;;ORDINARIO;TALARN II 4;Cataluna
461;;ORDINARIO;TAVASCAN INFERIOR;Cataluna
462;;ORDINARIO;TAVASCAN SUPERIOR 1;Cataluna
463;;ORDINARIO;TAVASCAN SUPERIOR 2;Cataluna
464;;ORDINARIO;TERMENS;Cataluna
465;;ORDINARIO;TERRADETS 1;Cataluna
466;;ORDINARIO;TERRADETS 2;Cataluna
467;;ORDINARIO;TORAN;Cataluna
468;;ORDINARIO;TORRASA;Cataluna
469;;ORDINARIO;TRANCO DE BEAS 1;Andalucia
470;;ORDINARIO;TRANCO DE BEAS 2;Andalucia
471;;ORDINARIO;TRANCO DE BEAS 3;Andalucia
472;;ORDINARIO;TREGURA 1;Cataluna
473;;ORDINARIO;TREGURA 2;Cataluna
474;;ORDINARIO;UNARRE;Cataluna
475;;ORDINARIO;VALTODANO 1;Andalucia
476;;ORDINARIO;VALTODANO 2;Andalucia
477;;ORDINARIO;VALTODANO 3;Andalucia
478;;ORDINARIO;VANDELLOS GR 2;Cataluna
479;;ORDINARIO;VIELHA 1;Cataluna
480;;ORDINARIO;VIELHA 2;Cataluna
481;;ORDINARIO;VILALLER 1;Cataluna
482;;ORDINARIO;VILALLER 2;Cataluna
483;;ORDINARIO;VILLAFRANCA 1;Andalucia
484;;ORDINARIO;VILLAFRANCA 2;Andalucia
485;;ORDINARIO;ZUJAR 1;Extremadura
486;;ORDINARIO;ZUJAR 2;Extremadura
487;;ORDINARIO;CACHINA;Cataluna
488;;ORDINARIO;CENTRAL ERA NOVA GRUPO 1;Cataluna
489;;ORDINARIO;CENTRAL ERA NOVA GRUPO 2;Cataluna
490;;ORDINARIO;GE PLASTICS ESPANA;Region de Murcia
491;;ORDINARIO;ESCOMBRERAS GRUPO 1;Region de Murcia
492;;ORDINARIO;ESCOMBRERAS GRUPO 2;Region de Murcia
493;;ORDINARIO;ESCOMBRERAS GRUPO 3;Region de Murcia
